gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	ADAMDEC1 FLC	Activated T	Arterial EC	B cell	BEST4 enterocyte	CD8 T cell	F3 FLC	FCER2 B cell	Glial cell	Goblet cell	IL2RG	IgA plasma cell	IgG plasma cell	Inflammatory FLC	LAMP3+ DC	Macrophage	Monocyte	Paneth cell	TA	Tfh	Treg	Tuft	Venous EC	activated B cell	cDC1	cDC2	crypt	cycling B cell	cycling myeloid	cycling plasma	early enterocyte	enterocyte	enteroendocrine	gd T cell	lymphatic EC	mast cells	memory B cell	myofibroblast	naïve CD4 T	pDC	pericyte
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.049	0.0	0.242	0.003	0.065	0.012	0.03	0.0	0.0	0.086	0.068	0.004	0.0	0.015	0.0	0.03	0.064	0.025	0.07	0.013	0.0	0.365	0.088	0.0	0.067	0.039	0.071	0.004	0.13	0.0	0.048	0.075	0.228	0.0	0.141	0.0	0.004	0.072	0.014	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.049	0.0	0.242	0.003	0.065	0.012	0.03	0.0	0.0	0.086	0.068	0.004	0.0	0.015	0.0	0.03	0.064	0.025	0.07	0.013	0.0	0.365	0.088	0.0	0.067	0.039	0.071	0.004	0.13	0.0	0.048	0.075	0.228	0.0	0.141	0.0	0.004	0.072	0.014	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.337	0.0	0.014	0.005	0.0	0.0	0.0	0.006	2.435	0.0	0.0	0.0	0.005	0.37	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.484	0.0	0.0	0.096
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.483	0.0	0.096	0.072	0.003	0.012	0.284	0.0	1.745	0.003	0.014	0.114	0.171	0.454	0.821	0.0	0.104	0.008	0.02	0.021	0.045	0.0	0.253	0.626	1.631	0.0	0.046	0.031	0.026	0.22	0.011	0.002	0.0	0.009	0.0	0.0	0.007	0.336	0.013	0.0	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.081	0.0	0.049	0.001	0.179	0.013	0.131	0.01	0.0	0.211	0.145	0.019	0.01	0.149	0.0	0.015	0.0	0.055	0.128	0.0	0.0	0.063	0.023	0.036	0.0	0.032	0.14	0.01	0.011	0.0	0.039	0.026	0.111	0.023	0.0	0.0	0.003	0.118	0.0	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.011	0.17	0.025	0.05	0.0	0.54	0.028	0.026	0.0	0.017	0.0	0.025	0.0	0.022	0.0	0.04	0.0	0.007	0.003	4.767	3.076	0.057	0.035	0.021	0.029	0.0	0.006	0.048	0.0	0.066	0.005	0.007	0.0	0.909	0.0	0.0	0.054	0.0	0.373	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.426	0.0	1.149	0.012	0.804	0.029	0.466	0.011	0.535	0.685	1.525	0.029	0.008	0.743	0.0	0.465	0.516	0.149	0.451	0.026	0.0	0.522	1.468	0.038	0.133	0.203	0.397	0.009	0.239	0.041	0.449	0.624	0.462	0.02	0.853	0.0	0.004	0.519	0.009	0.0	1.067
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.337	0.0	0.014	0.005	0.0	0.0	0.0	0.006	2.435	0.0	0.0	0.0	0.005	0.37	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.484	0.0	0.0	0.096
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.483	0.0	0.096	0.072	0.003	0.012	0.284	0.0	1.745	0.003	0.014	0.114	0.171	0.454	0.821	0.0	0.104	0.008	0.02	0.021	0.045	0.0	0.253	0.626	1.631	0.0	0.046	0.031	0.026	0.22	0.011	0.002	0.0	0.009	0.0	0.0	0.007	0.336	0.013	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.031	0.0	0.003	0.0	0.549	0.0	0.0	0.167	0.005	0.0	0.007	0.0	0.018	0.0	0.076	0.092	0.001	0.0	0.093	0.0	0.0	0.0	0.0	0.329	0.087	0.004	0.005	0.0	0.0	0.008	0.003	0.0	0.773	0.0	0.0	0.005	0.0	0.131	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.337	0.0	0.014	0.005	0.0	0.0	0.0	0.006	2.435	0.0	0.0	0.0	0.005	0.37	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.484	0.0	0.0	0.096
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.337	0.0	0.014	0.005	0.0	0.0	0.0	0.006	2.435	0.0	0.0	0.0	0.005	0.37	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.484	0.0	0.0	0.096
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.081	0.0	0.049	0.001	0.179	0.013	0.131	0.01	0.0	0.211	0.145	0.019	0.01	0.149	0.0	0.015	0.0	0.055	0.128	0.0	0.0	0.063	0.023	0.036	0.0	0.032	0.14	0.01	0.011	0.0	0.039	0.026	0.111	0.023	0.0	0.0	0.003	0.118	0.0	0.0	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.081	0.0	0.049	0.001	0.179	0.013	0.131	0.01	0.0	0.211	0.145	0.019	0.01	0.149	0.0	0.015	0.0	0.055	0.128	0.0	0.0	0.063	0.023	0.036	0.0	0.032	0.14	0.01	0.011	0.0	0.039	0.026	0.111	0.023	0.0	0.0	0.003	0.118	0.0	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.011	0.17	0.025	0.05	0.0	0.54	0.028	0.026	0.0	0.017	0.0	0.025	0.0	0.022	0.0	0.04	0.0	0.007	0.003	4.767	3.076	0.057	0.035	0.021	0.029	0.0	0.006	0.048	0.0	0.066	0.005	0.007	0.0	0.909	0.0	0.0	0.054	0.0	0.373	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.007	0.515	0.0	0.015	0.0	0.44	0.0	0.0	0.155	0.0	0.0	0.019	0.017	0.0	0.0	0.032	0.044	0.002	0.002	0.279	0.172	0.0	0.0	0.025	0.312	0.081	0.003	0.001	0.0	0.0	0.003	0.004	0.0	0.147	0.0	0.0	0.002	0.0	0.206	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.045	0.033	0.127	0.015	1.597	0.01	0.065	0.021	0.239	1.956	1.48	0.036	0.022	0.181	0.0	0.037	0.049	0.352	1.284	0.0	0.05	1.786	0.09	0.005	0.064	0.056	1.054	0.012	0.077	0.0	1.346	1.819	1.726	0.026	0.031	0.0	0.012	0.0	0.023	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.01	0.0	0.413	0.0	0.0	0.0	0.0	0.0	8.494	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.924	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.245	0.271	0.495	0.698	0.771	0.433	0.078	0.71	0.152	1.374	0.553	0.031	0.037	0.66	0.0	1.867	1.517	0.227	0.756	0.319	0.328	1.043	1.153	0.173	2.516	1.688	0.791	0.3	1.108	0.0	0.387	0.274	0.413	0.333	1.128	0.0	0.538	0.086	0.234	0.545	0.088
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.073	0.0	0.0	0.0	0.0	0.0	0.292	0.006	0.0	0.0	0.0	0.005	0.001	0.077	0.0	0.039	0.037	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.54
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.005	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.0	0.028	0.111	0.074	0.061	0.018	0.0	0.093	0.0	0.071	0.058	0.03	0.011	0.007	0.0	0.076	0.016	0.007	0.045	0.174	0.092	0.058	0.214	0.046	0.0	0.024	0.052	0.076	0.0	0.125	0.026	0.03	0.016	0.015	0.0	0.0	0.116	0.0	0.068	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.002	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.003	0.0	0.059	0.001	0.0	0.0	0.0	0.0	0.0	0.004	0.023	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.014	0.0	0.0	0.068	0.0	0.0	0.017	0.003	0.0	0.0	0.0	0.004	0.003	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.002	0.0	0.012	0.0	0.038	0.0	0.0	0.0	0.0	0.029	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.0	0.034	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.783	0.0	0.085	0.007	0.003	0.044	0.154	0.011	0.252	0.021	0.009	0.054	0.013	0.568	0.0	0.03	0.039	0.014	0.011	0.014	0.066	0.0	0.05	0.037	0.0	0.019	0.029	0.018	0.0	0.068	0.005	0.007	0.02	0.017	0.102	0.0	0.037	1.057	0.055	0.0	0.663
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.005	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.002	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.003	0.0	0.059	0.001	0.0	0.0	0.0	0.0	0.0	0.004	0.023	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.014	0.0	0.0	0.068	0.0	0.0	0.017	0.003	0.0	0.0	0.0	0.004	0.003	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.002	0.0	0.012	0.0	0.038	0.0	0.0	0.0	0.0	0.029	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.0	0.034	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.005	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	2.53	2.237	0.084	0.549	0.042	1.648	1.285	2.525	1.336	0.509	0.151	0.826	0.816	1.989	2.008	1.305	3.178	0.5	1.328	2.276	4.774	0.265	0.041	0.794	0.267	1.683	1.325	0.263	1.964	1.065	0.128	0.036	1.07	1.207	0.0	16.207	4.007	2.005	2.39	3.35	4.806
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.002	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.003	0.0	0.059	0.001	0.0	0.0	0.0	0.0	0.0	0.004	0.023	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.014	0.0	0.0	0.068	0.0	0.0	0.017	0.003	0.0	0.0	0.0	0.004	0.003	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.783	0.0	0.085	0.007	0.003	0.044	0.154	0.011	0.252	0.021	0.009	0.054	0.013	0.568	0.0	0.03	0.039	0.014	0.011	0.014	0.066	0.0	0.05	0.037	0.0	0.019	0.029	0.018	0.0	0.068	0.005	0.007	0.02	0.017	0.102	0.0	0.037	1.057	0.055	0.0	0.663
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	5.587	0.434	2.422	0.019	0.046	0.221	7.994	0.103	3.031	0.128	0.062	0.627	0.356	12.611	0.0	1.13	3.682	0.09	0.11	0.107	0.159	0.151	6.636	0.185	0.581	1.124	0.105	0.032	1.278	0.118	0.022	0.039	0.612	0.326	7.711	0.0	0.094	3.33	0.307	0.0	3.937
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.085	0.0	0.042	0.01	0.084	0.045	0.05	0.018	0.0	13.213	0.678	0.032	0.025	0.012	0.0	0.009	0.042	0.251	0.035	0.0	0.0	0.194	0.0	0.023	0.027	0.047	0.031	0.006	0.165	0.0	0.114	0.094	5.758	0.041	0.0	0.0	0.017	0.07	0.0	0.0	0.02
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.887	0.0	0.397	0.029	0.0	0.052	0.917	0.014	0.223	0.014	0.0	0.01	0.0	1.141	0.0	0.021	0.058	0.058	0.019	0.458	0.0	0.066	0.493	0.012	0.0	0.0	0.044	0.042	0.0	0.0	0.001	0.003	0.169	0.034	0.391	0.0	0.022	0.485	0.038	0.0	0.582
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.005	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.002	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.003	0.0	0.059	0.001	0.0	0.0	0.0	0.0	0.0	0.004	0.023	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.014	0.0	0.0	0.068	0.0	0.0	0.017	0.003	0.0	0.0	0.0	0.004	0.003	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.783	0.0	0.085	0.007	0.003	0.044	0.154	0.011	0.252	0.021	0.009	0.054	0.013	0.568	0.0	0.03	0.039	0.014	0.011	0.014	0.066	0.0	0.05	0.037	0.0	0.019	0.029	0.018	0.0	0.068	0.005	0.007	0.02	0.017	0.102	0.0	0.037	1.057	0.055	0.0	0.663
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.617	0.014	0.054	0.0	0.01	0.009	0.0	0.0	0.0	0.611	0.008	0.01	0.0	0.14	0.0	0.0	0.0	0.03	0.119	0.03	0.0	0.006	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.011	0.01	0.043	0.0	0.0	0.0	0.004	0.022	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.058	0.0	0.261	0.0	0.0	0.0	0.134	0.0	0.102	0.0	0.0	0.0	0.006	0.209	0.0	0.007	0.0	0.021	0.0	0.0	0.0	0.132	0.052	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.0	0.131
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.01	0.0	0.413	0.0	0.0	0.0	0.0	0.0	8.494	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.924	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.005	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.452	0.969	1.219	0.561	0.162	1.021	0.904	0.887	0.087	0.014	0.042	0.293	0.3	0.349	0.0	1.959	1.351	0.006	0.007	0.157	0.411	0.094	0.624	0.667	0.419	1.241	0.01	0.344	1.263	0.18	0.003	0.014	0.133	1.384	1.132	0.0	0.733	0.928	0.661	0.596	0.096
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
