gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Arterial EC	BEST4 enterocyte prog	Enteric neurons	Erythroblasts	FOXL1 FLC	Goblet prog	ICC	LGR5 stem	Lymphatic EC	NTS+ cells	Neural crest cells	SMC	UPK3B Serosa	Venous EC	WNT4 FLC	cycling cells 1	cycling cells 2	early enterocyte 1	early enterocyte 2	enterocyte	enteroendocrine	immune cells	mesoderm 1	mesoderm 2	myofibroblast	pericyte	uniform progenitor
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.056	0.0	0.0	0.002	0.0	0.016	0.002	0.011	0.021	0.049	0.003	0.004	0.0	0.066	0.0	0.01	0.005	0.005	0.003	0.003	0.004	0.027	0.0	0.0	0.0	0.0	0.003
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.005	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.0	0.002	0.001	0.001	0.004	0.0	0.0	0.004	0.001	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.031	0.005	0.006	0.0	0.0	0.011	0.002	0.011	0.0	0.039	0.001	0.005	0.352	0.002	0.005	0.006	0.007	0.005	0.012	0.01	0.021	0.0	0.0	0.001	0.003	0.0	0.005
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.004
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.005	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.049	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.017	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.035	0.009	0.147	0.039	0.247	0.035	0.541	0.034	0.086	0.0	0.071	1.343	0.512	0.074	1.861	0.022	0.034	0.033	0.03	0.035	0.039	0.069	0.767	0.762	1.701	0.722	0.041
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.005	0.0	0.096	0.0	0.013	0.0	0.01	0.001	0.014	0.0	0.019	0.012	0.934	0.003	0.009	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.003	0.008	0.017	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.005	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.0	0.002	0.001	0.001	0.004	0.0	0.0	0.004	0.001	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.031	0.005	0.006	0.0	0.0	0.011	0.002	0.011	0.0	0.039	0.001	0.005	0.352	0.002	0.005	0.006	0.007	0.005	0.012	0.01	0.021	0.0	0.0	0.001	0.003	0.0	0.005
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.004
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0	0.0	0.066	0.003	0.012	0.0	0.014	0.001	0.0	0.0	0.006	0.068	0.059	0.002	0.015	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.084	0.04	0.028	0.004	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.005	0.0	0.096	0.0	0.013	0.0	0.01	0.001	0.014	0.0	0.019	0.012	0.934	0.003	0.009	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.003	0.008	0.017	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.056	0.013	0.034	0.099	0.363	0.013	0.769	0.016	0.006	0.0	0.048	1.632	0.26	0.029	0.12	0.006	0.004	0.002	0.002	0.004	0.027	1.199	0.081	0.509	0.295	0.086	0.004
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.005	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.0	0.002	0.001	0.001	0.004	0.0	0.0	0.004	0.001	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.031	0.005	0.006	0.0	0.0	0.011	0.002	0.011	0.0	0.039	0.001	0.005	0.352	0.002	0.005	0.006	0.007	0.005	0.012	0.01	0.021	0.0	0.0	0.001	0.003	0.0	0.005
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.005	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.049	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.017	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.035	0.009	0.147	0.039	0.247	0.035	0.541	0.034	0.086	0.0	0.071	1.343	0.512	0.074	1.861	0.022	0.034	0.033	0.03	0.035	0.039	0.069	0.767	0.762	1.701	0.722	0.041
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0	0.0	0.066	0.003	0.012	0.0	0.014	0.001	0.0	0.0	0.006	0.068	0.059	0.002	0.015	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.084	0.04	0.028	0.004	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	2.601	0.753	0.726	0.253	3.875	0.936	3.849	0.849	4.841	0.682	0.923	1.604	5.445	4.596	4.459	0.807	1.04	1.019	0.854	1.045	0.92	2.746	2.302	2.776	2.107	6.214	1.154
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.0	0.117	0.0	0.002	0.001	0.194	0.0	0.047	0.007	0.0	0.004	0.002	0.003	0.002	0.001	0.067	0.089	0.096	0.17	0.378	0.085	0.0	0.0	0.0	0.002	0.0	0.119
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	1.448	0.002	0.616	0.046	0.971	0.036	1.958	0.037	0.784	0.008	0.463	0.677	0.374	0.904	1.636	0.02	0.019	0.009	0.005	0.005	0.066	0.11	0.889	0.914	1.407	0.664	0.037
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.005	0.0	0.096	0.0	0.013	0.0	0.01	0.001	0.014	0.0	0.019	0.012	0.934	0.003	0.009	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.003	0.008	0.017	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.005	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.0	0.002	0.001	0.001	0.004	0.0	0.0	0.004	0.001	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.031	0.005	0.006	0.0	0.0	0.011	0.002	0.011	0.0	0.039	0.001	0.005	0.352	0.002	0.005	0.006	0.007	0.005	0.012	0.01	0.021	0.0	0.0	0.001	0.003	0.0	0.005
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.0	0.0	0.005	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.049	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.017	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.035	0.009	0.147	0.039	0.247	0.035	0.541	0.034	0.086	0.0	0.071	1.343	0.512	0.074	1.861	0.022	0.034	0.033	0.03	0.035	0.039	0.069	0.767	0.762	1.701	0.722	0.041
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.017	0.023	0.026	0.026	0.53	0.191	0.187	0.175	0.023	0.135	0.026	0.694	0.062	0.025	0.157	0.15	0.111	0.124	0.082	0.061	0.088	0.053	0.431	0.722	0.32	0.109	0.238
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.155	0.0	0.086	0.013	0.006	0.015	0.006	0.023	0.009	0.0	0.111	0.005	0.005	0.182	0.012	0.005	0.008	0.001	0.001	0.004	0.002	1.924	0.015	0.007	0.011	0.009	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.005	0.0	0.096	0.0	0.013	0.0	0.01	0.001	0.014	0.0	0.019	0.012	0.934	0.003	0.009	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.003	0.008	0.017	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.845	0.028	0.041	0.021	0.291	0.008	0.244	0.005	0.827	0.0	0.038	0.139	0.063	1.126	0.182	0.004	0.003	0.003	0.002	0.004	0.051	1.475	0.08	0.184	0.184	0.261	0.0
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.0	0.002	0.002	0.005	0.015	0.0	0.0	0.0	0.0	0.033	0.0	0.004	0.002	0.001	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.005	0.0	0.001
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.011	0.016	0.003	0.008	0.159	0.041	0.055	0.015	0.036	0.099	0.029	0.034	0.263	0.007	0.186	0.006	0.007	0.008	0.014	0.014	0.009	0.01	0.214	0.166	0.111	0.173	0.008
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.165	0.0	0.096	0.0	0.006	0.0	0.07	0.02	0.026	0.0	0.433	0.014	0.099	0.033	0.067	0.004	0.001	0.0	0.0	0.0	0.001	0.006	0.012	0.006	0.015	0.092	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.011	0.0	1.219	0.008	0.004	0.0	0.002	0.002	0.0	0.0	0.405	0.004	0.043	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.003	0.001	0.032	0.004	0.007	0.018	0.004
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	2.951	0.0	0.16	0.022	0.099	0.009	0.422	0.001	0.027	0.0	0.358	0.108	0.024	1.28	0.247	0.001	0.004	0.002	0.002	0.001	0.011	0.025	0.112	0.234	0.254	0.077	0.001
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.754	0.002	0.248	0.035	0.331	0.009	0.341	0.012	0.144	0.0	0.387	0.138	0.048	0.691	0.225	0.009	0.011	0.007	0.003	0.003	0.041	0.043	0.276	0.344	0.265	0.425	0.017
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.001	0.069	0.003	0.0	0.004	0.02	0.0	0.003	0.0	0.0	0.0	0.001	0.0	0.006	0.0	0.001	0.001	0.001	0.0	0.001	0.105	0.035	0.0	0.0	0.001	0.001	0.0
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	4.572	2.99	0.234	0.119	1.375	0.74	1.703	0.575	7.266	1.354	0.248	0.741	1.425	1.864	0.792	0.841	0.809	0.913	1.469	2.487	0.614	5.886	0.802	0.547	1.813	0.784	0.759
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0528A694B	0.002	0.0	0.0	0.0	0.015	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.001	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.005	0.02	0.0	0.003	0.049	0.0	0.0
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.828	0.831	0.661	0.106	0.873	0.607	1.059	0.59	1.663	0.485	0.63	0.788	1.109	1.347	1.083	0.858	0.813	0.807	1.146	1.797	0.576	1.147	0.508	1.02	0.996	0.916	0.732
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0	0.0	0.034	0.001	0.003	0.0	0.002	0.0	0.0	0.0	0.0	0.032	0.001	0.0	0.027	0.0	0.001	0.002	0.004	0.001	0.001	0.007	0.0	0.001	0.184	0.0	0.001
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.02	0.952	0.764	0.009	0.01	0.715	0.01	0.858	2.068	0.558	0.217	0.121	1.743	0.007	0.023	0.865	0.751	0.785	0.955	1.041	0.755	0.028	0.0	0.008	0.019	0.009	1.089
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.015	0.0	0.0	0.0	0.0	0.002
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.002	0.011	0.003	0.002	0.002	0.011	0.0	0.016	0.0	0.0	0.003	0.001	0.002	0.002	0.0	0.012	0.019	0.006	0.01	0.011	0.003	0.132	0.0	0.0	0.001	0.001	0.011
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.001	0.069	0.003	0.0	0.004	0.02	0.0	0.003	0.0	0.0	0.0	0.001	0.0	0.006	0.0	0.001	0.001	0.001	0.0	0.001	0.105	0.035	0.0	0.0	0.001	0.001	0.0
GPR42	O15529	False	GPR42_HUMAN		CPI-SS022AE18AF	0.002	0.0	0.0	0.0	0.015	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.001	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.005	0.02	0.0	0.003	0.049	0.0	0.0
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.426	0.978	0.261	0.083	0.468	0.502	0.438	0.488	0.395	0.492	0.329	0.315	0.478	0.301	0.436	0.641	0.486	0.534	0.719	0.909	0.569	0.14	0.172	0.504	0.298	0.342	0.536
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.001	0.069	0.003	0.0	0.004	0.02	0.0	0.003	0.0	0.0	0.0	0.001	0.0	0.006	0.0	0.001	0.001	0.001	0.0	0.001	0.105	0.035	0.0	0.0	0.001	0.001	0.0
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0AA5ECE7B	0.002	0.0	0.0	0.0	0.015	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.001	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.005	0.02	0.0	0.003	0.049	0.0	0.0
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.0	0.01	0.003	0.0	0.001	0.053	0.003	0.036	0.0	0.0	0.0	0.001	0.004	0.001	0.0	0.071	0.077	0.098	0.101	0.134	0.068	0.235	0.0	0.001	0.003	0.001	0.138
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.007	0.0	0.0	0.0	0.001	0.0	0.005	0.001	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0
