gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	ADAMDEC1 FLC	Activated T	Arterial EC	B cell	BEST4 enterocyte	CD8 T cell	F3 FLC	FCER2 B cell	Glial cell	Goblet cell	IL2RG	IgA plasma cell	IgG plasma cell	Inflammatory FLC	LAMP3+ DC	Macrophage	Monocyte	Paneth cell	TA	Tfh	Treg	Tuft	Venous EC	activated B cell	cDC1	cDC2	crypt	cycling B cell	cycling myeloid	cycling plasma	early enterocyte	enterocyte	enteroendocrine	gd T cell	lymphatic EC	mast cells	memory B cell	myofibroblast	naïve CD4 T	pDC	pericyte
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.059	0.006	0.115	0.0	0.077	0.047	0.069	0.0	0.0	0.113	0.1	0.007	0.003	0.085	0.169	0.045	0.064	0.028	0.105	0.016	0.045	0.144	0.15	0.0	0.0	0.062	0.077	0.0	0.05	0.0	0.053	0.046	0.253	0.0	0.077	0.0	0.0	0.026	0.003	0.0	0.071
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.059	0.006	0.115	0.0	0.077	0.047	0.069	0.0	0.0	0.113	0.1	0.007	0.003	0.085	0.169	0.045	0.064	0.028	0.105	0.016	0.045	0.144	0.15	0.0	0.0	0.062	0.077	0.0	0.05	0.0	0.053	0.046	0.253	0.0	0.077	0.0	0.0	0.026	0.003	0.0	0.071
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.081	0.0	0.008	0.022	0.0	0.0	0.03	0.006	2.161	0.001	0.0	0.005	0.0	0.191	0.097	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.007	0.002	0.014	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.292	0.043	0.149	0.106	0.0	0.024	0.218	0.025	1.347	0.011	0.011	0.159	0.598	0.082	0.033	0.039	0.067	0.057	0.052	0.061	0.136	0.0	0.178	0.489	1.261	0.047	0.05	0.059	0.479	0.666	0.003	0.005	0.004	0.018	0.0	0.0	0.015	0.119	0.02	0.0	0.036
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.066	0.017	0.019	0.0	0.223	0.023	0.149	0.0	0.0	0.211	0.103	0.037	0.015	0.038	0.055	0.049	0.02	0.045	0.17	0.035	0.0	0.081	0.038	0.0	0.0	0.023	0.156	0.0	0.0	0.0	0.036	0.025	0.088	0.002	0.024	0.0	0.009	0.046	0.01	0.594	0.163
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.008	0.165	0.035	0.058	0.0	0.617	0.027	0.013	0.0	0.016	0.007	0.018	0.015	0.042	0.0	0.044	0.089	0.017	0.012	2.882	1.831	0.0	0.029	0.006	0.0	0.051	0.006	0.049	0.068	0.0	0.02	0.012	0.0	0.979	0.021	0.0	0.073	0.034	0.503	0.0	0.008
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.45	0.034	1.259	0.0	0.572	0.054	0.554	0.034	0.355	0.483	1.553	0.012	0.021	1.095	0.426	0.39	0.952	0.28	0.405	0.048	0.0	0.542	1.617	0.073	0.171	0.412	0.422	0.019	0.746	0.006	0.581	0.668	0.686	0.027	0.971	0.0	0.025	0.512	0.028	0.0	1.349
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.081	0.0	0.008	0.022	0.0	0.0	0.03	0.006	2.161	0.001	0.0	0.005	0.0	0.191	0.097	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.007	0.002	0.014	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.292	0.043	0.149	0.106	0.0	0.024	0.218	0.025	1.347	0.011	0.011	0.159	0.598	0.082	0.033	0.039	0.067	0.057	0.052	0.061	0.136	0.0	0.178	0.489	1.261	0.047	0.05	0.059	0.479	0.666	0.003	0.005	0.004	0.018	0.0	0.0	0.015	0.119	0.02	0.0	0.036
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.142	0.0	0.03	0.0	0.33	0.013	0.01	0.0	0.004	0.007	0.002	0.004	0.008	0.093	0.016	0.047	0.0	0.001	0.036	0.011	0.0	0.0	0.0	0.143	0.074	0.012	0.0	0.098	0.0	0.005	0.001	0.0	0.705	0.0	0.0	0.0	0.013	0.053	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.081	0.0	0.008	0.022	0.0	0.0	0.03	0.006	2.161	0.001	0.0	0.005	0.0	0.191	0.097	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.007	0.002	0.014	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.081	0.0	0.008	0.022	0.0	0.0	0.03	0.006	2.161	0.001	0.0	0.005	0.0	0.191	0.097	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.007	0.002	0.014	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.066	0.017	0.019	0.0	0.223	0.023	0.149	0.0	0.0	0.211	0.103	0.037	0.015	0.038	0.055	0.049	0.02	0.045	0.17	0.035	0.0	0.081	0.038	0.0	0.0	0.023	0.156	0.0	0.0	0.0	0.036	0.025	0.088	0.002	0.024	0.0	0.009	0.046	0.01	0.594	0.163
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.066	0.017	0.019	0.0	0.223	0.023	0.149	0.0	0.0	0.211	0.103	0.037	0.015	0.038	0.055	0.049	0.02	0.045	0.17	0.035	0.0	0.081	0.038	0.0	0.0	0.023	0.156	0.0	0.0	0.0	0.036	0.025	0.088	0.002	0.024	0.0	0.009	0.046	0.01	0.594	0.163
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.008	0.165	0.035	0.058	0.0	0.617	0.027	0.013	0.0	0.016	0.007	0.018	0.015	0.042	0.0	0.044	0.089	0.017	0.012	2.882	1.831	0.0	0.029	0.006	0.0	0.051	0.006	0.049	0.068	0.0	0.02	0.012	0.0	0.979	0.021	0.0	0.073	0.034	0.503	0.0	0.008
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.011	0.532	0.008	0.0	0.0	0.278	0.0	0.004	0.0	0.002	0.031	0.019	0.018	0.025	0.0	0.03	0.038	0.0	0.002	0.523	0.116	0.0	0.005	0.029	0.427	0.024	0.007	0.051	0.237	0.023	0.0	0.01	0.0	0.213	0.018	0.2	0.016	0.013	0.208	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.045	0.056	0.033	0.01	1.569	0.13	0.011	0.013	0.0	1.928	3.435	0.032	0.03	0.039	0.011	0.069	0.014	0.368	1.348	0.0	0.043	2.501	0.021	0.006	0.0	0.086	1.292	0.0	0.289	0.006	1.315	1.825	1.375	0.087	0.026	0.0	0.014	0.0	0.014	0.878	0.013
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.089	0.0	0.213	0.0	0.0	0.021	0.164	0.0	0.332	0.001	0.01	0.006	0.002	0.261	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.171	0.044	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.001	0.145	0.011	0.0	0.051
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.005	0.0	0.452	0.0	0.0	0.0	0.089	0.0	3.747	0.007	0.006	0.003	0.01	0.005	0.0	0.009	3.491	0.0	0.012	0.0	0.0	0.0	1.334	0.0	0.0	0.013	0.004	0.0	0.0	0.0	0.01	0.002	0.0	0.0	0.04	0.092	0.009	0.029	0.004	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.213	0.255	0.569	0.561	0.955	0.228	0.19	1.249	0.0	1.432	0.51	0.035	0.031	0.421	2.118	1.852	1.608	0.341	0.984	0.095	0.387	2.568	1.048	0.356	1.127	1.821	0.812	0.331	1.92	0.13	0.378	0.129	0.402	0.268	1.215	0.737	0.784	0.225	0.301	1.314	0.332
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.355	0.0	0.0	0.0	0.0	0.0	0.46	0.005	0.233	0.0	0.0	0.001	0.01	0.345	0.099	0.114	0.036	0.0	0.0	0.0	0.0	0.0	0.006	0.018	0.0	0.025	0.0	0.0	0.02	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.012	0.11	0.002	0.0	0.199
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.089	0.0	0.213	0.0	0.0	0.021	0.164	0.0	0.332	0.001	0.01	0.006	0.002	0.261	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.171	0.044	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.001	0.145	0.011	0.0	0.051
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.002	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.049
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.008	0.042	0.207	0.066	0.04	0.0	0.009	0.138	0.0	0.057	0.078	0.016	0.016	0.05	0.0	0.046	0.104	0.003	0.096	0.07	0.03	0.0	0.145	0.013	0.0	0.028	0.081	0.061	0.039	0.051	0.038	0.035	0.006	0.032	0.031	0.0	0.089	0.0	0.069	0.0	0.03
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.009	0.001	0.0	0.006	0.0	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.006	0.009	0.0	0.0	0.011	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	1.039	0.047	0.088	0.0	0.0	0.012	0.418	0.05	0.0	0.016	0.026	0.046	0.025	4.372	0.0	0.024	0.037	0.019	0.017	0.07	0.021	0.0	0.067	0.04	0.041	0.01	0.05	0.017	0.0	0.023	0.008	0.006	0.009	0.133	0.064	0.0	0.023	1.874	0.024	0.0	0.149
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.089	0.0	0.213	0.0	0.0	0.021	0.164	0.0	0.332	0.001	0.01	0.006	0.002	0.261	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.171	0.044	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.001	0.145	0.011	0.0	0.051
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.002	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.049
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.009	0.001	0.0	0.006	0.0	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.006	0.009	0.0	0.0	0.011	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.11	0.0	0.0	0.0	0.01	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.089	0.0	0.213	0.0	0.0	0.021	0.164	0.0	0.332	0.001	0.01	0.006	0.002	0.261	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.171	0.044	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.001	0.145	0.011	0.0	0.051
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.002	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.049
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	1.848	2.332	0.15	0.704	0.169	1.35	0.96	1.823	2.641	0.529	0.307	0.803	0.934	2.695	4.753	1.168	8.278	0.532	1.008	2.485	3.269	0.081	0.14	0.973	0.315	1.838	1.032	0.316	2.164	1.106	0.151	0.059	1.157	1.196	0.141	6.009	3.043	1.555	2.078	1.117	4.151
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.009	0.001	0.0	0.006	0.0	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.006	0.009	0.0	0.0	0.011	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	1.039	0.047	0.088	0.0	0.0	0.012	0.418	0.05	0.0	0.016	0.026	0.046	0.025	4.372	0.0	0.024	0.037	0.019	0.017	0.07	0.021	0.0	0.067	0.04	0.041	0.01	0.05	0.017	0.0	0.023	0.008	0.006	0.009	0.133	0.064	0.0	0.023	1.874	0.024	0.0	0.149
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.11	0.0	0.0	0.0	0.01	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	6.563	0.704	2.215	0.268	0.041	0.39	17.344	0.384	5.554	0.448	0.821	0.665	0.468	20.559	1.743	1.27	20.04	0.545	0.314	1.064	0.456	0.901	5.611	0.801	1.377	4.542	0.328	0.193	0.403	0.24	0.137	0.098	0.471	0.294	29.506	7.478	0.215	6.729	0.605	0.0	35.806
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.094	0.028	0.027	0.107	0.189	0.022	0.007	0.015	0.0	13.676	10.513	0.035	0.03	0.036	0.0	0.028	0.018	0.059	0.221	0.005	0.005	0.475	0.035	0.028	0.0	0.02	0.217	0.016	0.428	0.021	0.112	0.132	3.266	0.037	0.033	0.0	0.052	0.022	0.072	0.0	0.045
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.838	0.012	0.361	0.393	0.011	0.0	0.863	0.022	0.0	0.01	0.0	0.013	0.012	1.002	0.048	0.032	0.064	0.079	0.019	0.259	0.036	0.0	0.519	0.009	0.043	0.019	0.014	0.185	0.014	0.0	0.007	0.01	0.212	0.044	0.449	0.0	0.009	0.864	0.058	0.0	0.11
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.089	0.0	0.213	0.0	0.0	0.021	0.164	0.0	0.332	0.001	0.01	0.006	0.002	0.261	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.171	0.044	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.001	0.145	0.011	0.0	0.051
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.002	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.049
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.009	0.001	0.0	0.006	0.0	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.006	0.009	0.0	0.0	0.011	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
